# x_m,y_m,w_tr_right_m,w_tr_left_m
0.6500,-2.2700,0.7000,0.7000
0.6500,-2.3200,0.7000,0.7000
0.6500,-2.3700,0.7000,0.7000
0.6500,-2.4200,0.7000,0.7000
0.6500,-2.4700,0.7000,0.7000
0.6500,-2.5200,0.7000,0.7000
0.6500,-2.5700,0.7000,0.7000
0.6500,-2.6200,0.7000,0.7000
0.6500,-2.6700,0.7000,0.7000
0.6500,-2.7200,0.7000,0.7000
0.6000,-2.7700,0.7500,0.7500
0.6000,-2.8200,0.7500,0.7500
0.6000,-2.8700,0.7500,0.7500
0.6000,-2.9200,0.7500,0.7500
0.6000,-2.9700,0.7500,0.7500
0.6000,-3.0200,0.7500,0.7500
0.6000,-3.0700,0.7500,0.7500
0.6000,-3.1200,0.7500,0.7500
0.6000,-3.1700,0.7500,0.7500
0.6000,-3.2200,0.7517,0.7517
0.6000,-3.2700,0.7566,0.7566
0.6000,-3.3200,0.7649,0.7649
0.6000,-3.3700,0.7762,0.7762
0.6000,-3.4200,0.7906,0.7906
0.6000,-3.4700,0.8000,0.8000
0.6000,-3.5200,0.8016,0.8016
0.6000,-3.5700,0.8062,0.8062
0.6000,-3.6200,0.8139,0.8139
0.6000,-3.6700,0.8246,0.8246
0.6000,-3.7200,0.8382,0.8382
0.6000,-3.7700,0.8500,0.8500
0.6000,-3.8200,0.8500,0.8500
0.6000,-3.8700,0.8500,0.8500
0.6000,-3.9200,0.8500,0.8500
0.6000,-3.9700,0.8500,0.8500
0.6000,-4.0200,0.8500,0.8500
0.6000,-4.0700,0.8500,0.8500
0.6000,-4.1200,0.8500,0.8500
0.5500,-4.1700,0.8500,0.8500
0.5500,-4.2200,0.8515,0.8515
0.5500,-4.2700,0.8559,0.8559
0.5500,-4.3200,0.8631,0.8631
0.5500,-4.3700,0.8732,0.8732
0.5500,-4.4200,0.8860,0.8860
0.5500,-4.4700,0.8860,0.8860
0.5000,-4.5200,0.8515,0.8515
0.5000,-4.5700,0.8559,0.8559
0.5000,-4.6200,0.8631,0.8631
0.5000,-4.6700,0.8732,0.8732
0.5000,-4.7200,0.8860,0.8860
0.5000,-4.7700,0.9000,0.9000
0.5000,-4.8200,0.8860,0.8860
0.5000,-4.8700,0.8732,0.8732
0.5000,-4.9200,0.8631,0.8631
0.5000,-4.9700,0.8559,0.8559
0.5000,-5.0200,0.8515,0.8515
0.5000,-5.0700,0.8500,0.8500
0.5000,-5.1200,0.8500,0.8500
0.5000,-5.1700,0.8500,0.8500
0.4500,-5.2200,0.9000,0.9000
0.4500,-5.2700,0.9000,0.9000
0.4500,-5.3200,0.9000,0.9000
0.4500,-5.3700,0.9000,0.9000
0.4500,-5.4200,0.9000,0.9000
0.4000,-5.4700,0.9014,0.9014
0.4000,-5.5200,0.9192,0.9192
0.4000,-5.5700,0.9341,0.9341
0.4000,-5.6200,0.9487,0.9487
0.4000,-5.6700,0.9500,0.9500
0.4000,-5.7200,0.9500,0.9500
0.4000,-5.7700,0.9500,0.9500
0.4000,-5.8200,0.9487,0.9487
0.4000,-5.8700,0.9341,0.9341
0.4000,-5.9200,0.9220,0.9220
0.4000,-5.9700,0.9124,0.9124
0.4000,-6.0200,0.9055,0.9055
0.3500,-6.0700,0.9513,0.9513
0.3500,-6.1200,0.9500,0.9500
0.3500,-6.1700,0.9500,0.9500
0.3500,-6.2200,0.9500,0.9500
0.3000,-6.2700,1.0000,1.0000
0.3000,-6.3200,1.0000,1.0000
0.2500,-6.3700,1.0500,1.0500
0.2500,-6.4200,1.0500,1.0500
0.2500,-6.4700,1.0500,1.0500
0.2000,-6.5200,1.0920,1.0920
0.2000,-6.5700,1.0794,1.0794
0.1500,-6.6200,1.1180,1.1180
0.1000,-6.6700,1.1597,1.1597
0.1000,-6.7200,1.1543,1.1543
0.0500,-6.7700,1.2010,1.2010
0.0000,-6.8200,1.2207,1.2207
0.0000,-6.8700,1.2083,1.2083
-0.0500,-6.9200,1.2298,1.2298
-0.1000,-6.9700,1.2379,1.2379
-0.1000,-7.0200,1.2021,1.2021
-0.1500,-7.0700,1.1705,1.1705
-0.2000,-7.0700,1.1885,1.1885
-0.2500,-7.1200,1.1543,1.1543
-0.3000,-7.1200,1.1705,1.1705
-0.3500,-7.1700,1.1402,1.1402
-0.4000,-7.1700,1.1543,1.1543
-0.4500,-7.2200,1.1180,1.1180
-0.5000,-7.2200,1.1281,1.1281
-0.5500,-7.2200,1.1402,1.1402
-0.6000,-7.2700,1.1068,1.1068
-0.6500,-7.2700,1.1180,1.1180
-0.7000,-7.2700,1.1281,1.1281
-0.7500,-7.3200,1.0920,1.0920
-0.8000,-7.3200,1.1000,1.1000
-0.8500,-7.3200,1.0920,1.0920
-0.9000,-7.3200,1.0770,1.0770
-0.9500,-7.3200,1.0595,1.0595
-1.0000,-7.2700,1.0308,1.0308
-1.0500,-7.2700,1.0124,1.0124
-1.1000,-7.2700,0.9962,0.9962
-1.1500,-7.2700,0.9823,0.9823
-1.2000,-7.2700,0.9657,0.9657
-1.2500,-7.2200,0.9014,0.9014
-1.3000,-7.2200,0.8860,0.8860
-1.3500,-7.2200,0.8732,0.8732
-1.4000,-7.2200,0.8631,0.8631
-1.4500,-7.1700,0.8062,0.8062
-1.5000,-7.1700,0.8016,0.8016
-1.5500,-7.1700,0.8000,0.8000
-1.6000,-7.1200,0.7500,0.7500
-1.6500,-7.1200,0.7500,0.7500
-1.7000,-7.1200,0.7500,0.7500
-1.7500,-7.0700,0.7018,0.7018
-1.8000,-7.0700,0.7071,0.7071
-1.8500,-7.0700,0.7159,0.7159
-1.9000,-7.0700,0.7280,0.7280
-1.9500,-7.0200,0.6964,0.6964
-2.0000,-7.0200,0.7159,0.7159
-2.0500,-7.0200,0.7382,0.7382
-2.1000,-7.0200,0.7211,0.7211
-2.1500,-6.9700,0.7382,0.7382
-2.2000,-6.9700,0.7159,0.7159
-2.2500,-6.9200,0.7382,0.7382
-2.3000,-6.8700,0.7211,0.7211
-2.3500,-6.8700,0.7211,0.7211
-2.4000,-6.8200,0.7382,0.7382
-2.4500,-6.7700,0.7433,0.7433
-2.5000,-6.7200,0.7433,0.7433
